Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P02768,bile acid and bile salt transport;bile acid metabolic process;blood coagulation;cellular response to starvation;hemolysis by symbiont of host erythrocytes;lipoprotein metabolic process;maintenance of mitochondrion location;negative regulation of apoptotic process;negative regulation of programmed cell death;platelet activation;platelet degranulation;positive regulation of circadian sleep/wake cycle - non-REM sleep;response to mercury ion;response to nutrient;response to organic substance;response to platinum ion;retina homeostasis;small molecule metabolic process;sodium-independent organic anion transport;transmembrane transport;transport,extracellular;nucleus,ALB,Serum albumin,extracellular,small molecule metabolic process
P08238,axon guidance;cellular response to interleukin-4;cellular response to organic cyclic compound;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;negative regulation of neuron apoptotic process;negative regulation of proteasomal ubiquitin-dependent protein catabolic process;nucleotide-binding domain - leucine rich repeat containing receptor signaling pathway;placenta development;positive regulation of cell size;positive regulation of nitric oxide biosynthetic process;positive regulation of protein binding;positive regulation of protein import into nucleus - translocation;positive regulation of protein serine/threonine kinase activity;protein folding;regulation of interferon-gamma-mediated signaling pathway;regulation of type I interferon-mediated signaling pathway;response to salt stress;response to unfolded protein,plasma membrane;cytoplasm;cytosol;mitochondrion,HSP90AB1,Heat shock protein HSP 90-beta,plasma membrane,innate immune response
P06733,carbohydrate metabolic process;gluconeogenesis;glucose metabolic process;glycolysis;negative regulation of cell growth;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription - DNA-dependent;response to virus;small molecule metabolic process;transcription - DNA-dependent,cytoplasm;cytosol;extracellular;nucleus;plasma membrane,ENO1,Alpha-enolase,extracellular,small molecule metabolic process
P04083,alpha-beta T cell differentiation;arachidonic acid secretion;cell surface receptor signaling pathway;cellular component movement;cellular response to glucocorticoid stimulus;cellular response to hydrogen peroxide;endocrine pancreas development;estrous cycle phase;gliogenesis;hepatocyte differentiation;inflammatory response;insulin secretion;keratinocyte differentiation;negative regulation of acute inflammatory response;negative regulation of apoptotic process;negative regulation of catalytic activity;negative regulation of interleukin-8 secretion;neutrophil clearance;neutrophil homeostasis;peptide cross-linking;positive regulation of G1/S transition of mitotic cell cycle;positive regulation of neutrophil apoptotic process;positive regulation of prostaglandin biosynthetic process;positive regulation of vesicle fusion;regulation of cell proliferation;response to drug;response to estradiol stimulus;response to interleukin-1;response to peptide hormone stimulus;response to X-ray;signal transduction,plasma membrane;cytoplasm;extracellular;mitochondrion;nucleus,ANXA1,Annexin A1,extracellular,cellular component movement
Q96FW1,response to DNA damage stimulus;DNA repair;immune system process;negative regulation of double-strand break repair;negative regulation of histone H2A K63-linked ubiquitination;protein K48-linked deubiquitination,cytoplasm,OTUB1,Ubiquitin thioesterase OTUB1,cytoplasm,immune system process
Q9P270,cytoplasmic microtubule organization;microtubule nucleation;positive regulation of microtubule polymerization,centrosome;cytoplasm;nucleus,SLAIN2,SLAIN motif-containing protein 2,centrosome,microtubule nucleation
P63104,apoptotic process;blood coagulation;gene expression;histamine secretion by mast cell;intrinsic apoptotic signaling pathway;membrane organization;mRNA metabolic process;negative regulation of apoptotic process;platelet activation;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;protein targeting to mitochondrion;response to drug;RNA metabolic process;signal transduction,extracellular;cytoplasm;cytosol;lysosome;mitochondrion;nucleus,YWHAZ,14-3-3 protein zeta/delta,extracellular,blood coagulation
Q13162,I-kappaB phosphorylation;male gonad development;negative regulation of male germ cell proliferation;reactive oxygen species metabolic process;spermatogenesis,extracellular;mitochondrion;nucleus,PRDX4,Peroxiredoxin-4,extracellular,spermatogenesis
P27824,aging;antigen processing and presentation of exogenous peptide antigen via MHC class II;antigen processing and presentation of peptide antigen via MHC class I;cellular protein metabolic process;chaperone-mediated protein folding;clathrin-mediated endocytosis;post-translational protein modification;protein folding;protein N-linked glycosylation via asparagine;protein secretion;synaptic vesicle endocytosis,cytoplasm;endoplasmic reticulum,CANX,Calnexin,endoplasmic reticulum,cellular protein metabolic process
Q15436,antigen processing and presentation of exogenous peptide antigen via MHC class II;antigen processing and presentation of peptide antigen via MHC class I;cellular protein metabolic process;COPII vesicle coating;ER to Golgi vesicle-mediated transport;intracellular protein transport;membrane organization;post-translational protein modification;protein N-linked glycosylation via asparagine;small molecule metabolic process;vesicle-mediated transport,cytosol;endoplasmic reticulum;golgi apparatus;cytoplasm,SEC23A,Protein transport protein Sec23A,endoplasmic reticulum,small molecule metabolic process
P25786,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;apoptotic process;cellular nitrogen compound metabolic process;DNA damage response - signal transduction by p53 class mediator resulting in cell cycle arrest;G1/S transition of mitotic cell cycle;gene expression;mitotic cell cycle;mRNA metabolic process;negative regulation of apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;protein polyubiquitination;regulation of apoptotic process;regulation of cellular amino acid metabolic process;regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;RNA metabolic process;small molecule metabolic process;viral process,centrosome;cytosol;nucleus,PSMA1,Proteasome subunit alpha type-1,centrosome,small molecule metabolic process
Q9H0B6,antigen processing and presentation of exogenous peptide antigen via MHC class II;axon cargo transport;blood coagulation;microtubule-based movement,cytoplasm;cytosol,KLC2,Kinesin light chain 2,cytosol,blood coagulation
P05109,activation of cysteine-type endopeptidase activity involved in apoptotic process;acute inflammatory response;autophagy;chemokine production;chronic inflammatory response;cytokine production;defense response to bacterium;defense response to fungus;inflammatory response;innate immune response;leukocyte migration involved in inflammatory response;neutrophil aggregation;neutrophil chemotaxis;positive regulation of cell growth;positive regulation of inflammatory response;positive regulation of intrinsic apoptotic signaling pathway;positive regulation of NF-kappaB transcription factor activity;regulation of cytoskeleton organization;response to ethanol;response to lipopolysaccharide;response to zinc ion;sequestering of zinc ion;wound healing,cytoplasm;cytosol;extracellular;nucleus;plasma membrane,S100A8,Protein S100-A8,extracellular,innate immune response
P60981,actin filament depolymerization;actin filament severing;actin polymerization or depolymerization;cellular component movement;positive regulation of actin filament depolymerization,cytoplasm,DSTN,Destrin,cytoplasm,cellular component movement
P40855,chaperone-mediated protein folding;chaperone-mediated protein transport;establishment of protein localization to peroxisome;negative regulation of lipid binding;peroxisome fission;peroxisome membrane biogenesis;peroxisome organization;protein import into peroxisome membrane;protein stabilization;protein targeting to peroxisome;transmembrane transport,plasma membrane;cytoplasm;cytosol;nucleus;peroxisome,PEX19,Peroxisomal biogenesis factor 19,plasma membrane,protein stabilization
P63261,adherens junction organization;axon guidance;cell junction assembly;cell-cell junction organization;cellular component movement;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;membrane organization;retina homeostasis;sarcomere organization,extracellular;cytoplasm;cytosol;nucleus,ACTG1,Actin - cytoplasmic 2,extracellular,innate immune response
P27348,apoptotic process;intrinsic apoptotic signaling pathway;membrane organization;negative regulation of transcription - DNA-dependent;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;protein targeting;small GTPase mediated signal transduction;substantia nigra development,cytoplasm;cytosol,YWHAQ,14-3-3 protein theta,cytosol,membrane organization
Q02750,activation of MAPK activity;activation of MAPKK activity;axon guidance;cell cycle arrest;cell motility;cell proliferation;cellular component movement;cellular senescence;chemotaxis;epidermal growth factor receptor signaling pathway;Fc-epsilon receptor signaling pathway;fibroblast growth factor receptor signaling pathway;Golgi inheritance;innate immune response;insulin receptor signaling pathway;keratinocyte differentiation;labyrinthine layer development;MAPK cascade;melanosome transport;mitosis;MyD88-dependent toll-like receptor signaling pathway;MyD88-independent toll-like receptor signaling pathway;negative regulation of cell proliferation;negative regulation of homotypic cell-cell adhesion;neurotrophin TRK receptor signaling pathway;placenta blood vessel development;positive regulation of cell differentiation;positive regulation of cell migration;positive regulation of gene expression;positive regulation of protein serine/threonine kinase activity;positive regulation of Ras GTPase activity;positive regulation of Ras protein signal transduction;positive regulation of transcription elongation from RNA polymerase II promoter;protein heterooligomerization;Ras protein signal transduction;regulation of early endosome to late endosome transport;regulation of Golgi inheritance;regulation of stress-activated MAPK cascade;regulation of vascular smooth muscle contraction;response to axon injury;response to glucocorticoid stimulus;response to oxidative stress;signal transduction;small GTPase mediated signal transduction;stress-activated MAPK cascade;toll-like receptor 10 signaling pathway;toll-like receptor 2 signaling pathway;toll-like receptor 3 signaling pathway;toll-like receptor 4 signaling pathway;toll-like receptor 5 signaling pathway;toll-like receptor 9 signaling pathway;toll-like receptor signaling pathway;toll-like receptor TLR1:TLR2 signaling pathway;toll-like receptor TLR6:TLR2 signaling pathway;TRIF-dependent toll-like receptor signaling pathway;vesicle transport along microtubule,cytoplasm;cytosol;endosome;golgi apparatus;microtubule organising centre;mitochondrion;nucleus;plasma membrane,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,plasma membrane,innate immune response
P14618,carbohydrate metabolic process;glucose metabolic process;glycolysis;programmed cell death;small molecule metabolic process,cytoplasm;cytosol;mitochondrion;nucleus;plasma membrane,PKM,Pyruvate kinase PKM,plasma membrane,small molecule metabolic process
P31689,androgen receptor signaling pathway;negative regulation of apoptotic process;negative regulation of JUN kinase activity;positive regulation of apoptotic process;protein folding;protein localization to mitochondrion;regulation of protein transport;response to heat;response to unfolded protein;sperm motility;spermatogenesis,cytosol,DNAJA1,DnaJ homolog subfamily A member 1,cytosol,protein folding
P07237,cell redox homeostasis;cellular response to hypoxia;extracellular matrix organization;lipoprotein metabolic process;peptidyl-proline hydroxylation to 4-hydroxy-L-proline;protein folding;regulation of intrinsic apoptotic signaling pathway in response to oxidative stress;response to endoplasmic reticulum stress;small molecule metabolic process,endoplasmic reticulum;cytoplasm;extracellular;plasma membrane,P4HB,Protein disulfide-isomerase,extracellular,small molecule metabolic process
P04179,age-dependent response to reactive oxygen species;cellular response to ethanol;detection of oxygen;erythrophore differentiation;glutathione metabolic process;heart development;hemopoiesis;hydrogen peroxide biosynthetic process;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to oxidative stress;iron ion homeostasis;liver development;locomotory behavior;negative regulation of cell proliferation;negative regulation of fat cell differentiation;negative regulation of fibroblast proliferation;negative regulation of intrinsic apoptotic signaling pathway in response to oxidative stress;negative regulation of neuron apoptotic process;neuron development;oxygen homeostasis;positive regulation of nitric oxide biosynthetic process;post-embryonic development;protein homotetramerization;regulation of blood pressure;regulation of catalytic activity;regulation of mitochondrial membrane potential;regulation of transcription from RNA polymerase II promoter;release of cytochrome c from mitochondria;removal of superoxide radicals;respiratory electron transport chain;response to activity;response to axon injury;response to cadmium ion;response to drug;response to electrical stimulus;response to gamma radiation;response to hydrogen peroxide;response to hyperoxia;response to hypoxia;response to L-ascorbic acid;response to lipopolysaccharide;response to manganese ion;response to selenium ion;response to silicon dioxide;response to superoxide;response to zinc ion;superoxide anion generation;superoxide metabolic process;vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure,mitochondrion,SOD2,Superoxide dismutase [Mn] - mitochondrial,mitochondrion,protein homotetramerization
P68363,_de novo_ posttranslational protein folding;cell division;cellular protein metabolic process;cellular response to interleukin-4;cytoskeleton-dependent intracellular transport;microtubule cytoskeleton organization;microtubule-based process;protein folding;protein polymerization,cytoplasm,TUBA1B,Tubulin alpha-1B chain,cytoplasm,cellular protein metabolic process
Q86VP6,cell differentiation;negative regulation of catalytic activity;positive regulation of RNA polymerase II transcriptional preinitiation complex assembly;protein ubiquitination;SCF complex assembly,cytoplasm;nucleus,CAND1,Cullin-associated NEDD8-dissociated protein 1,cytoplasm,negative regulation of catalytic activity
P23396,cellular protein metabolic process;response to DNA damage stimulus;cytoplasmic translation;DNA catabolic process - endonucleolytic;gene expression;mRNA metabolic process;negative regulation of DNA repair;nuclear-transcribed mRNA catabolic process - nonsense-mediated decay;nucleic acid phosphodiester bond hydrolysis;positive regulation of apoptotic signaling pathway;positive regulation of NF-kappaB transcription factor activity;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;viral infectious cycle;viral process;viral transcription,cytoplasm;cytosol;nucleus;plasma membrane,RPS3,40S ribosomal protein S3,plasma membrane,cellular protein metabolic process
P05155,blood circulation;blood coagulation;blood coagulation - intrinsic pathway;complement activation - classical pathway;fibrinolysis;innate immune response;negative regulation of complement activation - lectin pathway;negative regulation of endopeptidase activity;platelet activation;platelet degranulation,extracellular,SERPING1,Plasma protease C1 inhibitor,extracellular,blood coagulation
P00734,acute-phase response;blood coagulation;blood coagulation - intrinsic pathway;cell surface receptor signaling pathway;cellular protein metabolic process;cytosolic calcium ion homeostasis;fibrinolysis;leukocyte migration;multicellular organismal development;negative regulation of astrocyte differentiation;negative regulation of fibrinolysis;negative regulation of platelet activation;negative regulation of proteolysis;peptidyl-glutamic acid carboxylation;platelet activation;positive regulation of blood coagulation;positive regulation of cell growth;positive regulation of cell proliferation;positive regulation of collagen biosynthetic process;positive regulation of phosphatidylinositol 3-kinase cascade;positive regulation of phospholipase C-activating G-protein coupled receptor signaling pathway;positive regulation of protein phosphorylation;positive regulation of reactive oxygen species metabolic process;positive regulation of release of sequestered calcium ion into cytosol;post-translational protein modification;proteolysis;regulation of blood coagulation;regulation of cell shape;response to wounding,extracellular;endoplasmic reticulum;golgi apparatus;plasma membrane,F2,Prothrombin,extracellular,blood coagulation
P31153,cellular nitrogen compound metabolic process;methylation;one-carbon metabolic process;S-adenosylmethionine biosynthetic process;small molecule metabolic process;sulfur amino acid metabolic process;xenobiotic metabolic process,cytosol,MAT2A,S-adenosylmethionine synthase isoform type-2,cytosol,small molecule metabolic process
O60701,cellular glucuronidation;gastrulation with mouth forming second;glycosaminoglycan biosynthetic process;small molecule metabolic process;UDP-glucose metabolic process;UDP-glucuronate biosynthetic process;xenobiotic metabolic process,cytosol;nucleus,UGDH,UDP-glucose 6-dehydrogenase,cytosol,small molecule metabolic process
Q93050,ATP hydrolysis coupled proton transport;cellular iron ion homeostasis;insulin receptor signaling pathway;interaction with host;phagosome maturation;transferrin transport;transmembrane transport,cytoplasm;endosome;golgi apparatus;nucleus;plasma membrane;vacuole,ATP6V0A1,V-type proton ATPase 116 kDa subunit a isoform 1,plasma membrane,cellular iron ion homeostasis
P07339,antigen processing and presentation of exogenous peptide antigen via MHC class II;autophagic vacuole assembly;cell death;collagen catabolic process;extracellular matrix disassembly;extracellular matrix organization,extracellular;lysosome;mitochondrion,CTSD,Cathepsin D,extracellular,extracellular matrix organization
O43175,brain development;cellular amino acid biosynthetic process;cellular nitrogen compound metabolic process;G1 to G0 transition;gamma-aminobutyric acid metabolic process;glial cell development;glutamine metabolic process;glycine metabolic process;L-serine biosynthetic process;neural tube development;neuron projection development;regulation of gene expression;small molecule metabolic process;spinal cord development;taurine metabolic process;threonine metabolic process,cytosol,PHGDH,D-3-phosphoglycerate dehydrogenase,cytosol,small molecule metabolic process
P68104,cellular protein metabolic process;cellular response to epidermal growth factor stimulus;gene expression;regulation of transcription - DNA-dependent;transcription - DNA-dependent;translation;translational elongation,cytoplasm;cytosol;extracellular;nucleus;plasma membrane,EEF1A1,Elongation factor 1-alpha 1,extracellular,cellular protein metabolic process
P01834,complement activation;complement activation - classical pathway;Fc-epsilon receptor signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;immune response;innate immune response;regulation of immune response;retina homeostasis,extracellular;plasma membrane,IGKC,Ig kappa chain C region,extracellular,innate immune response
P01857,complement activation;complement activation - classical pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response,extracellular,IGHG1,Ig gamma-1 chain C region,extracellular,innate immune response
P60900,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;antigen processing and presentation of exogenous peptide antigen via MHC class I - TAP-dependent;antigen processing and presentation of peptide antigen via MHC class I;apoptotic process;cellular nitrogen compound metabolic process;DNA damage response - signal transduction by p53 class mediator resulting in cell cycle arrest;G1/S transition of mitotic cell cycle;gene expression;mitotic cell cycle;mRNA metabolic process;negative regulation of apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;positive regulation of NF-kappaB transcription factor activity;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;protein polyubiquitination;proteolysis involved in cellular protein catabolic process;regulation of apoptotic process;regulation of cellular amino acid metabolic process;regulation of inflammatory response;regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;RNA metabolic process;small molecule metabolic process;viral process,cytoplasm;cytosol;nucleus,PSMA6,Proteasome subunit alpha type-6,cytosol,small molecule metabolic process
P35232,cellular response to interleukin-6;DNA biosynthetic process;DNA replication;histone deacetylation;negative regulation of androgen receptor signaling pathway;negative regulation of cell growth;negative regulation of cell proliferation;negative regulation of glucocorticoid receptor signaling pathway;negative regulation of transcription by competitive promoter binding;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription - DNA-dependent;osteoblast differentiation;positive regulation of transcription - DNA-dependent;progesterone receptor signaling pathway;regulation of apoptotic process;regulation of transcription - DNA-dependent;signal transduction,cytoplasm;plasma membrane;mitochondrion;nucleus,PHB,Prohibitin,plasma membrane,signal transduction
P60709,_de novo_ posttranslational protein folding;adherens junction organization;ATP-dependent chromatin remodeling;axon guidance;blood coagulation;cell junction assembly;cell-cell junction organization;cellular component movement;cellular protein metabolic process;chromatin organization;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;membrane organization;protein folding;retina homeostasis;substantia nigra development,extracellular;cytoplasm;cytosol;nucleus,ACTB,Actin - cytoplasmic 1,extracellular,blood coagulation
Q8TEX9,DNA replication-dependent nucleosome assembly;DNA replication-independent nucleosome assembly;intracellular protein transport;protein transport,cytoplasm,IPO4,Importin-4,cytoplasm,protein transport
P05067,adult locomotory behavior;axon cargo transport;axon midline choice point recognition;axonogenesis;blood coagulation;cell adhesion;cellular copper ion homeostasis;cholesterol metabolic process;collateral sprouting in absence of injury;dendrite development;endocytosis;extracellular matrix organization;forebrain development;innate immune response;ionotropic glutamate receptor signaling pathway;locomotory behavior;mating behavior;G2 phase of mitotic cell cycle;mRNA polyadenylation;negative regulation of endopeptidase activity;negative regulation of neuron differentiation;neuromuscular process controlling balance;neuron apoptotic process;neuron projection development;neuron remodeling;Notch signaling pathway;nucleotide-binding domain - leucine rich repeat containing receptor signaling pathway;platelet activation;platelet degranulation;positive regulation of G2/M transition of mitotic cell cycle;positive regulation of mitotic cell cycle;positive regulation of transcription from RNA polymerase II promoter;protein phosphorylation;regulation of epidermal growth factor-activated receptor activity;regulation of multicellular organism growth;regulation of protein binding;regulation of synapse structure and activity;regulation of translation;response to oxidative stress;smooth endoplasmic reticulum calcium ion homeostasis;suckling behavior;synaptic growth at neuromuscular junction;visual learning,cytoplasm;cytosol;extracellular;golgi apparatus;plasma membrane;nucleus,APP,Amyloid beta A4 protein,extracellular,blood coagulation
P04264,complement activation - lectin pathway;fibrinolysis;regulation of angiogenesis;response to oxidative stress;retina homeostasis,extracellular;cytoplasm;nucleus;plasma membrane,KRT1,Keratin - type II cytoskeletal 1,extracellular,retina homeostasis
P13647,cell junction assembly;epidermis development;hemidesmosome assembly,cytoplasm;cytosol;mitochondrion;nucleus;plasma membrane,KRT5,Keratin - type II cytoskeletal 5,plasma membrane,epidermis development
P13861,activation of phospholipase C activity;activation of protein kinase A activity;blood coagulation;cellular response to glucagon stimulus;energy reserve metabolic process;epidermal growth factor receptor signaling pathway;fibroblast growth factor receptor signaling pathway;innate immune response;intracellular signal transduction;negative regulation of cAMP-dependent protein kinase activity;neurotrophin TRK receptor signaling pathway;regulation of insulin secretion;signal transduction;small molecule metabolic process;transmembrane transport;water transport,centrosome;cytoplasm;cytosol;plasma membrane,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit,plasma membrane,small molecule metabolic process
Q9Y490,activation of signaling protein activity involved in unfolded protein response;axon guidance;blood coagulation;cell adhesion;cell-cell junction assembly;cell-substrate junction assembly;cellular component movement;cellular protein metabolic process;cortical actin cytoskeleton organization;cytoskeletal anchoring at plasma membrane;endoplasmic reticulum unfolded protein response;muscle contraction;platelet activation;platelet degranulation,cytoplasm;cytosol;extracellular;microtubule organising centre;plasma membrane,TLN1,Talin-1,extracellular,blood coagulation
O15230,angiogenesis;branching involved in salivary gland morphogenesis;branching involved in ureteric bud morphogenesis;cell differentiation;cell migration;cell proliferation;cell recognition;cilium assembly;cytoskeleton organization;embryo development;endothelial cell differentiation;establishment of protein localization to plasma membrane;extracellular matrix disassembly;extracellular matrix organization;focal adhesion assembly;hair follicle development;integrin-mediated signaling pathway;lung development;morphogenesis of a polarized epithelium;morphogenesis of embryonic epithelium;muscle organ development;neural crest cell migration;odontogenesis of dentin-containing tooth;regulation of cell adhesion;regulation of cell migration;regulation of cell proliferation;regulation of embryonic development;substrate adhesion-dependent cell spreading,extracellular;nucleus,LAMA5,Laminin subunit alpha-5,extracellular,extracellular matrix organization
P11047,axon guidance;cell adhesion;cell migration;endoderm development;extracellular matrix disassembly;extracellular matrix organization;hemidesmosome assembly;positive regulation of epithelial cell proliferation;protein complex assembly;substrate adhesion-dependent cell spreading,extracellular,LAMC1,Laminin subunit gamma-1,extracellular,extracellular matrix organization
P35579,actin cytoskeleton reorganization;actin filament-based movement;actomyosin structure organization;angiogenesis;ATP catabolic process;axon guidance;blood vessel endothelial cell migration;cytokinesis;establishment of meiotic spindle localization;establishment of T cell polarity;in utero embryonic development;integrin-mediated signaling pathway;leukocyte migration;meiotic spindle organization;membrane protein ectodomain proteolysis;monocyte differentiation;myoblast fusion;platelet formation;protein transport;regulation of cell shape;cell-cell adhesion;termination of G-protein coupled receptor signaling pathway;uropod organization,cytoplasm;cytosol;plasma membrane;nucleus,MYH9,Myosin-9,plasma membrane,ATP catabolic process
P61981,apoptotic process;cellular response to insulin stimulus;G2/M transition of mitotic cell cycle;intrinsic apoptotic signaling pathway;membrane organization;mitotic cell cycle;negative regulation of protein kinase activity;negative regulation of protein serine/threonine kinase activity;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;protein targeting;regulation of neuron differentiation;regulation of signal transduction;regulation of synaptic plasticity,cytoplasm;cytosol,YWHAG,14-3-3 protein gamma,cytosol,membrane organization
Q04917,apoptotic process;glucocorticoid catabolic process;glucocorticoid receptor signaling pathway;intracellular protein transport;intrinsic apoptotic signaling pathway;membrane depolarization involved in regulation of action potential;membrane organization;negative regulation of dendrite morphogenesis;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;positive regulation of transcription - DNA-dependent;regulation of neuron differentiation;regulation of sodium ion transmembrane transporter activity;regulation of sodium ion transport;regulation of synaptic plasticity;substantia nigra development,cytoplasm;cytosol;plasma membrane,YWHAH,14-3-3 protein eta,plasma membrane,membrane organization
