Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P31947,apoptotic process;establishment of skin barrier;intrinsic apoptotic signaling pathway;intrinsic apoptotic signaling pathway in response to DNA damage;keratinocyte differentiation;keratinocyte proliferation;membrane organization;negative regulation of cell proliferation;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;negative regulation of protein kinase activity;negative regulation of protein serine/threonine kinase activity;positive regulation of cell growth;positive regulation of epidermal cell differentiation;positive regulation of protein export from nucleus;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;regulation of cyclin-dependent protein serine/threonine kinase activity;regulation of epidermal cell division;release of cytochrome c from mitochondria;signal transduction,cytoplasm;cytosol;extracellular;nucleus,SFN,14-3-3 protein sigma,extracellular,membrane organization
P27348,apoptotic process;intrinsic apoptotic signaling pathway;membrane organization;negative regulation of transcription - DNA-dependent;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;protein targeting;small GTPase mediated signal transduction;substantia nigra development,cytoplasm;cytosol,YWHAQ,14-3-3 protein theta,cytosol,membrane organization
P01023,blood coagulation;blood coagulation - intrinsic pathway;extracellular matrix disassembly;extracellular matrix organization;negative regulation of complement activation - lectin pathway;negative regulation of endopeptidase activity;platelet activation;platelet degranulation;regulation of small GTPase mediated signal transduction;small GTPase mediated signal transduction;stem cell differentiation,extracellular;cytosol,A2M,Alpha-2-macroglobulin,extracellular,blood coagulation
O43707,actin filament bundle assembly;blood coagulation;negative regulation of cellular component movement;platelet activation;platelet degranulation;positive regulation of cellular component movement;positive regulation of pinocytosis;positive regulation of sodium:hydrogen antiporter activity;protein transport;regulation of apoptotic process;response to hypoxia;tight junction assembly,cytoplasm;extracellular;nucleus,ACTN4,Alpha-actinin-4,extracellular,blood coagulation
P02768,bile acid and bile salt transport;bile acid metabolic process;blood coagulation;cellular response to starvation;hemolysis by symbiont of host erythrocytes;lipoprotein metabolic process;maintenance of mitochondrion location;negative regulation of apoptotic process;negative regulation of programmed cell death;platelet activation;platelet degranulation;positive regulation of circadian sleep/wake cycle - non-REM sleep;response to mercury ion;response to nutrient;response to organic substance;response to platinum ion;retina homeostasis;small molecule metabolic process;sodium-independent organic anion transport;transmembrane transport;transport,extracellular;nucleus,ALB,Serum albumin,extracellular,small molecule metabolic process
P04083,alpha-beta T cell differentiation;arachidonic acid secretion;cell surface receptor signaling pathway;cellular component movement;cellular response to glucocorticoid stimulus;cellular response to hydrogen peroxide;endocrine pancreas development;estrous cycle phase;gliogenesis;hepatocyte differentiation;inflammatory response;insulin secretion;keratinocyte differentiation;negative regulation of acute inflammatory response;negative regulation of apoptotic process;negative regulation of catalytic activity;negative regulation of interleukin-8 secretion;neutrophil clearance;neutrophil homeostasis;peptide cross-linking;positive regulation of G1/S transition of mitotic cell cycle;positive regulation of neutrophil apoptotic process;positive regulation of prostaglandin biosynthetic process;positive regulation of vesicle fusion;regulation of cell proliferation;response to drug;response to estradiol stimulus;response to interleukin-1;response to peptide hormone stimulus;response to X-ray;signal transduction,plasma membrane;cytoplasm;extracellular;mitochondrion;nucleus,ANXA1,Annexin A1,extracellular,cellular component movement
P12429,,,,,,
P02647,adrenal gland development;blood coagulation;blood vessel endothelial cell migration;cellular lipid metabolic process;cholesterol biosynthetic process;cholesterol efflux;cholesterol homeostasis;cholesterol import;cholesterol metabolic process;cholesterol transport;endothelial cell proliferation;G-protein coupled receptor signaling pathway;glucocorticoid metabolic process;high-density lipoprotein particle assembly;high-density lipoprotein particle clearance;high-density lipoprotein particle remodeling;lipid storage;lipoprotein biosynthetic process;lipoprotein metabolic process;negative regulation of cell adhesion molecule production;negative regulation of cytokine secretion involved in immune response;negative regulation of heterotypic cell-cell adhesion;negative regulation of inflammatory response;negative regulation of interleukin-1 beta secretion;negative regulation of lipase activity;negative regulation of response to cytokine stimulus;negative regulation of tumor necrosis factor-mediated signaling pathway;negative regulation of very-low-density lipoprotein particle remodeling;organ regeneration;peptidyl-methionine modification;peripheral nervous system axon regeneration;phosphatidylcholine biosynthetic process;phospholipid efflux;phospholipid homeostasis;phototransduction - visible light;platelet activation;platelet degranulation;positive regulation of cholesterol esterification;positive regulation of hydrolase activity;positive regulation of transferase activity;protein oxidation;protein stabilization;regulation of Cdc42 protein signal transduction;regulation of intestinal cholesterol absorption;regulation of protein phosphorylation;response to drug;response to estrogen stimulus;response to nutrient;retinoid metabolic process;reverse cholesterol transport;small molecule metabolic process;transmembrane transport;triglyceride homeostasis,extracellular;cytoplasm;cytosol;endosome;endoplasmic reticulum;nucleus;plasma membrane,APOA1,Apolipoprotein A-I,extracellular,small molecule metabolic process
P43251,,,,,,
Q01518,actin cytoskeleton organization;activation of adenylate cyclase activity;ameboidal cell migration;axon guidance;blood coagulation;establishment or maintenance of cell polarity;platelet activation;platelet degranulation;receptor-mediated endocytosis;signal transduction,cytoplasm;plasma membrane,CAP1,Adenylyl cyclase-associated protein 1,plasma membrane,blood coagulation
P04040,aerobic respiration;cellular response to growth factor stimulus;cholesterol metabolic process;hemoglobin metabolic process;hydrogen peroxide catabolic process;kidney development;menopause;negative regulation of apoptotic process;negative regulation of NF-kappaB transcription factor activity;nucleobase-containing small molecule metabolic process;osteoblast differentiation;positive regulation of cell division;positive regulation of NF-kappaB transcription factor activity;positive regulation of phosphatidylinositol 3-kinase cascade;protein homotetramerization;protein tetramerization;purine nucleobase metabolic process;purine nucleotide catabolic process;response to hyperoxia;response to hypoxia;response to reactive oxygen species;response to vitamin E;small molecule metabolic process;triglyceride metabolic process;ureteric bud development;UV protection,cytosol;endoplasmic reticulum;golgi apparatus;lysosome;mitochondrion;peroxisome;plasma membrane,CAT,Catalase,plasma membrane,small molecule metabolic process
P07339,antigen processing and presentation of exogenous peptide antigen via MHC class II;autophagic vacuole assembly;cell death;collagen catabolic process;extracellular matrix disassembly;extracellular matrix organization,extracellular;lysosome;mitochondrion,CTSD,Cathepsin D,extracellular,extracellular matrix organization
P16870,,,,,,
Q6YHK3,,,,,,
P00751,complement activation;complement activation - alternative pathway;innate immune response;regulation of complement activation,extracellular;plasma membrane,CFB,Complement factor B,extracellular,innate immune response
P08603,complement activation;complement activation - alternative pathway;innate immune response;regulation of complement activation,extracellular,CFH,Complement factor H,extracellular,innate immune response
Q13231,,,,,,
Q00610,antigen processing and presentation of exogenous peptide antigen via MHC class II;intracellular protein transport;membrane organization;mitosis;negative regulation of hyaluronan biosynthetic process;osteoblast differentiation;post-Golgi vesicle-mediated transport;receptor internalization;receptor-mediated endocytosis;transferrin transport,plasma membrane;golgi apparatus;cytoplasm;cytosol;mitochondrion,CLTC,Clathrin heavy chain 1,plasma membrane,membrane organization
Q96KP4,cellular nitrogen compound metabolic process;glutathione biosynthetic process;glutathione derivative biosynthetic process;small molecule metabolic process;sulfur amino acid metabolic process;xenobiotic metabolic process,cytosol,CNDP2,Cytosolic non-specific dipeptidase,cytosol,small molecule metabolic process
P01024,complement activation;complement activation - alternative pathway;complement activation - classical pathway;fatty acid metabolic process;G-protein coupled receptor signaling pathway;immune response;inflammatory response;innate immune response;positive regulation of activation of membrane attack complex;positive regulation of angiogenesis;positive regulation of apoptotic cell clearance;positive regulation of G-protein coupled receptor protein signaling pathway;positive regulation of glucose transport;positive regulation of lipid storage;positive regulation of protein phosphorylation;positive regulation of type IIa hypersensitivity;positive regulation vascular endothelial growth factor production;regulation of complement activation;regulation of immune response;regulation of triglyceride biosynthetic process;signal transduction,extracellular;plasma membrane,C3,Complement C3,extracellular,innate immune response
Q9H0B8,,,,,,
Q14204,antigen processing and presentation of exogenous peptide antigen via MHC class II;cell death;cytoplasmic mRNA processing body assembly;G2/M transition of mitotic cell cycle;microtubule-based movement;mitotic cell cycle;mitotic spindle organization;stress granule assembly;transport,centrosome;cytoplasm;cytosol,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,centrosome,mitotic cell cycle
P13639,cell death;cellular protein metabolic process;gene expression;positive regulation of gene expression;positive regulation of translation;translation;translational elongation,cytosol;nucleus,EEF2,Elongation factor 2,cytosol,cellular protein metabolic process
Q04609,folic acid-containing compound metabolic process;proteolysis,cytoplasm;plasma membrane,FOLH1,Glutamate carboxypeptidase 2,plasma membrane,proteolysis
P19440,arachidonic acid metabolic process;cellular amino acid metabolic process;cysteine biosynthetic process;glutamate metabolic process;glutathione biosynthetic process;glutathione catabolic process;glutathione derivative biosynthetic process;glutathione metabolic process;leukotriene biosynthetic process;leukotriene metabolic process;regulation of immune system process;regulation of inflammatory response;small molecule metabolic process;spermatogenesis;xenobiotic metabolic process;zymogen activation,extracellular;plasma membrane,GGT1,Gamma-glutamyltranspeptidase 1,extracellular,small molecule metabolic process
P36959,nucleobase-containing small molecule metabolic process;nucleotide metabolic process;purine nucleobase metabolic process;purine-containing compound salvage;response to cold;small molecule metabolic process,cytosol,GMPR,GMP reductase 1,cytosol,small molecule metabolic process
P07686,astrocyte cell migration;carbohydrate metabolic process;cell death;cellular calcium ion homeostasis;cellular protein metabolic process;chondroitin sulfate catabolic process;chondroitin sulfate metabolic process;ganglioside catabolic process;glycosaminoglycan metabolic process;glycosphingolipid metabolic process;hyaluronan catabolic process;hyaluronan metabolic process;keratan sulfate catabolic process;keratan sulfate metabolic process;lipid storage;locomotory behavior;lysosome organization;male courtship behavior;myelination;neuromuscular process controlling balance;oligosaccharide catabolic process;oogenesis;penetration of zona pellucida;phospholipid biosynthetic process;positive regulation of transcription from RNA polymerase II promoter;regulation of cell shape;sensory perception of sound;skeletal system development;small molecule metabolic process;sphingolipid metabolic process,lysosome,HEXB,Beta-hexosaminidase subunit beta,lysosome,small molecule metabolic process
P07900,ATP catabolic process;axon guidance;chaperone-mediated protein complex assembly;Fc-gamma receptor signaling pathway involved in phagocytosis;G2/M transition of mitotic cell cycle;innate immune response;mitochondrial transport;mitotic cell cycle;nitric oxide metabolic process;positive regulation of nitric oxide biosynthetic process;protein import into mitochondrial outer membrane;protein refolding;regulation of nitric-oxide synthase activity;response to unfolded protein;signal transduction;small molecule metabolic process,cytoplasm;cytosol;extracellular;mitochondrion;nucleus;plasma membrane,HSP90AA1,Heat shock protein HSP 90-alpha,extracellular,small molecule metabolic process
P08238,axon guidance;cellular response to interleukin-4;cellular response to organic cyclic compound;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;negative regulation of neuron apoptotic process;negative regulation of proteasomal ubiquitin-dependent protein catabolic process;nucleotide-binding domain - leucine rich repeat containing receptor signaling pathway;placenta development;positive regulation of cell size;positive regulation of nitric oxide biosynthetic process;positive regulation of protein binding;positive regulation of protein import into nucleus - translocation;positive regulation of protein serine/threonine kinase activity;protein folding;regulation of interferon-gamma-mediated signaling pathway;regulation of type I interferon-mediated signaling pathway;response to salt stress;response to unfolded protein,plasma membrane;cytoplasm;cytosol;mitochondrion,HSP90AB1,Heat shock protein HSP 90-beta,plasma membrane,innate immune response
P11142,ATP catabolic process;axon guidance;chaperone mediated protein folding requiring cofactor;gene expression;membrane organization;mRNA metabolic process;mRNA processing;negative regulation of transcription - DNA-dependent;neurotransmitter secretion;post-Golgi vesicle-mediated transport;protein folding;protein refolding;regulation of cell cycle;response to unfolded protein;RNA metabolic process;RNA splicing;synaptic transmission;transcription - DNA-dependent;viral process,extracellular;cytosol;nucleus;plasma membrane,HSPA8,Heat shock cognate 71 kDa protein,extracellular,viral process
P34913,arachidonic acid metabolic process;cellular calcium ion homeostasis;cholesterol homeostasis;dephosphorylation;drug metabolic process;epoxygenase P450 pathway;inflammatory response;phospholipid dephosphorylation;positive regulation of gene expression;positive regulation of vasodilation;reactive oxygen species metabolic process;regulation of blood pressure;regulation of cholesterol metabolic process;response to toxic substance;small molecule metabolic process;stilbene catabolic process;xenobiotic metabolic process,cytosol;peroxisome,EPHX2,Bifunctional epoxide hydrolase 2,peroxisome,small molecule metabolic process
O75874,2-oxoglutarate metabolic process;cellular lipid metabolic process;female gonad development;glutathione metabolic process;glyoxylate cycle;isocitrate metabolic process;NADPH regeneration;response to oxidative stress;response to steroid hormone stimulus;small molecule metabolic process;tricarboxylic acid cycle,cytoplasm;cytosol;mitochondrion;peroxisome,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,mitochondrion,small molecule metabolic process
P01876,antibacterial humoral response;glomerular filtration;immune response;positive regulation of respiratory burst;protein-chromophore linkage;retina homeostasis,extracellular,IGHA1,Ig alpha-1 chain C region,extracellular,retina homeostasis
P07288,cellular protein metabolic process;negative regulation of angiogenesis,extracellular;nucleus,KLK3,Prostate-specific antigen,extracellular,cellular protein metabolic process
P14618,carbohydrate metabolic process;glucose metabolic process;glycolysis;programmed cell death;small molecule metabolic process,cytoplasm;cytosol;mitochondrion;nucleus;plasma membrane,PKM,Pyruvate kinase PKM,plasma membrane,small molecule metabolic process
P10253,,,,,,
P08473,angiotensin maturation;beta-amyloid metabolic process;cellular protein metabolic process;cellular response to cytokine stimulus;cellular response to UV-A;cellular response to UV-B;creatinine metabolic process;kidney development;peptide metabolic process;proteolysis;replicative senescence;sensory perception of pain,cytoplasm;plasma membrane,MME,Neprilysin,plasma membrane,cellular protein metabolic process
P80188,cellular response to hydrogen peroxide;cellular response to interleukin-1;cellular response to lipopolysaccharide;cellular response to nutrient levels;cellular response to tumor necrosis factor;extrinsic apoptotic signaling pathway in absence of ligand;innate immune response;ion transport;positive regulation of cell projection organization;positive regulation of gene expression;protein homotrimerization;response to drug;response to herbicide;response to virus;siderophore transport,cytosol;extracellular,LCN2,Neutrophil gelatinase-associated lipocalin,extracellular,innate immune response
P36955,,,,,,
O43692,,,,,,
P15309,adenosine metabolic process;dephosphorylation;nucleotide metabolic process;positive regulation of adenosine receptor signaling pathway;purine nucleobase metabolic process;regulation of sensory perception of pain;thiamine metabolic process,extracellular;golgi apparatus;lysosome;endosome;nucleus;plasma membrane,ACPP,Prostatic acid phosphatase,extracellular,purine nucleobase metabolic process
P30041,hydrogen peroxide catabolic process;phospholipid catabolic process;response to oxidative stress,cytoplasm;cytosol;extracellular;lysosome,PRDX6,Peroxiredoxin-6,extracellular,hydrogen peroxide catabolic process
Q8N114,,,,,,
O43278,,,,,,
Q8IYJ3,exocytosis;intracellular protein transport,plasma membrane,SYTL1,Synaptotagmin-like protein 1,plasma membrane,exocytosis
P49221,mating plug formation;peptide cross-linking,cytoplasm;extracellular;golgi apparatus,TGM4,Protein-glutamine gamma-glutamyltransferase 4,extracellular,peptide cross-linking
P16035,aging;cellular response to organic substance;central nervous system development;extracellular matrix disassembly;extracellular matrix organization;negative regulation of cell proliferation;negative regulation of endopeptidase activity;negative regulation of mitotic cell cycle;negative regulation of proteolysis;negative regulation of Ras protein signal transduction;positive regulation of adenylate cyclase activity;positive regulation of MAPK cascade;positive regulation of neuron differentiation;regulation of Rap protein signal transduction;response to cytokine stimulus;response to drug,extracellular,TIMP2,Metalloproteinase inhibitor 2,extracellular,extracellular matrix organization
P02787,blood coagulation;cellular iron ion homeostasis;platelet activation;platelet degranulation;retina homeostasis;transferrin transport;transmembrane transport,plasma membrane;extracellular;cytoplasm;endosome,TF,Serotransferrin,extracellular,blood coagulation
P09467,carbohydrate metabolic process;cellular response to drug;cellular response to magnesium ion;dephosphorylation;fructose 6-phosphate metabolic process;fructose metabolic process;gluconeogenesis;glucose metabolic process;negative regulation of cell growth;negative regulation of glycolysis;negative regulation of Ras protein signal transduction;protein homotetramerization;regulation of gluconeogenesis;small molecule metabolic process,cytoplasm;cytosol,FBP1,Fructose-1 -6-bisphosphatase 1,cytosol,small molecule metabolic process
Q9BV40,autophagic vacuole fusion;membrane organization;post-Golgi vesicle-mediated transport;protein complex assembly;protein transport;regulation of endocytosis;vesicle fusion;viral entry into host cell,endosome;lysosome;mitochondrion;plasma membrane;cytoplasm,VAMP8,Vesicle-associated membrane protein 8,plasma membrane,membrane organization
Q99536,negative regulation of mitochondrial fusion,mitochondrion,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,mitochondrion,negative regulation of mitochondrial fusion
P25311,antigen processing and presentation of peptide antigen via MHC class I;cell adhesion;detection of chemical stimulus involved in sensory perception of bitter taste;immune response;negative regulation of cell proliferation;positive regulation of T cell mediated cytotoxicity;protein transmembrane transport;retina homeostasis;RNA phosphodiester bond hydrolysis,extracellular;plasma membrane;nucleus,AZGP1,Zinc-alpha-2-glycoprotein,extracellular,retina homeostasis
P00738,acute-phase response;defense response;defense response to bacterium;immune system process;negative regulation of hydrogen peroxide catabolic process;negative regulation of oxidoreductase activity;positive regulation of cell death;response to hydrogen peroxide,extracellular,HP,Haptoglobin,extracellular,acute-phase response
O15230,angiogenesis;branching involved in salivary gland morphogenesis;branching involved in ureteric bud morphogenesis;cell differentiation;cell migration;cell proliferation;cell recognition;cilium assembly;cytoskeleton organization;embryo development;endothelial cell differentiation;establishment of protein localization to plasma membrane;extracellular matrix disassembly;extracellular matrix organization;focal adhesion assembly;hair follicle development;integrin-mediated signaling pathway;lung development;morphogenesis of a polarized epithelium;morphogenesis of embryonic epithelium;muscle organ development;neural crest cell migration;odontogenesis of dentin-containing tooth;regulation of cell adhesion;regulation of cell migration;regulation of cell proliferation;regulation of embryonic development;substrate adhesion-dependent cell spreading,extracellular;nucleus,LAMA5,Laminin subunit alpha-5,extracellular,extracellular matrix organization
P35579,actin cytoskeleton reorganization;actin filament-based movement;actomyosin structure organization;angiogenesis;ATP catabolic process;axon guidance;blood vessel endothelial cell migration;cytokinesis;establishment of meiotic spindle localization;establishment of T cell polarity;in utero embryonic development;integrin-mediated signaling pathway;leukocyte migration;meiotic spindle organization;membrane protein ectodomain proteolysis;monocyte differentiation;myoblast fusion;platelet formation;protein transport;regulation of cell shape;cell-cell adhesion;termination of G-protein coupled receptor signaling pathway;uropod organization,cytoplasm;cytosol;plasma membrane;nucleus,MYH9,Myosin-9,plasma membrane,ATP catabolic process
Q99497,adult locomotory behavior;autophagy;cellular response to hydrogen peroxide;cellular response to oxidative stress;dopamine uptake involved in synaptic transmission;hydrogen peroxide metabolic process;inflammatory response;membrane depolarization;membrane hyperpolarization;mitochondrion organization;negative regulation of cell death;negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway;negative regulation of extrinsic apoptotic signaling pathway;negative regulation of gene expression;negative regulation of hydrogen peroxide-mediated programmed cell death;negative regulation of neuron apoptotic process;negative regulation of neuron death;negative regulation of protein acetylation;negative regulation of protein binding;negative regulation of protein export from nucleus;negative regulation of protein kinase activity;negative regulation of protein phosphorylation;negative regulation of protein ubiquitination;negative regulation of ubiquitin-protein ligase activity;negative regulation of ubiquitin-specific protease activity;oxidation-reduction process;positive regulation of androgen receptor activity;positive regulation of interleukin-8 production;positive regulation of oxidative phosphorylation uncoupler activity;positive regulation of protein homodimerization activity;positive regulation of protein localization to nucleus;positive regulation of superoxide dismutase activity;positive regulation of transcription from RNA polymerase II promoter;protein stabilization;regulation of androgen receptor signaling pathway;regulation of inflammatory response;regulation of mitochondrial membrane potential;regulation of neuron apoptotic process;single fertilization,cytoplasm;cytosol;mitochondrion;nucleus;plasma membrane,PARK7,Protein DJ-1,plasma membrane,protein stabilization
P23528,actin cytoskeleton organization;actin filament depolymerization;axon guidance;blood coagulation;cytoskeleton organization;establishment of cell polarity;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;negative regulation of apoptotic process;negative regulation of cell size;neural crest cell migration;neural fold formation;platelet activation;platelet degranulation;positive regulation of actin filament depolymerization;protein import into nucleus;protein phosphorylation;regulation of cell morphogenesis;response to amino acid stimulus;response to virus;Rho protein signal transduction,cytoplasm;extracellular;plasma membrane;nucleus,CFL1,Cofilin-1,extracellular,blood coagulation
P63241,apoptotic process;cellular protein metabolic process;mRNA export from nucleus;nucleocytoplasmic transport;peptidyl-lysine modification to hypusine;positive regulation of cell proliferation;positive regulation of translational elongation;positive regulation of translational termination;post-translational protein modification;protein export from nucleus;translational frameshifting,cytoplasm;cytosol;endoplasmic reticulum;nucleus,EIF5A,Eukaryotic translation initiation factor 5A-1,endoplasmic reticulum,cellular protein metabolic process
P01877,,,,,,
Q13332,cell adhesion;cerebellum development;cerebral cortex development;corpus callosum development;extracellular matrix organization;hippocampus development;peptidyl-tyrosine dephosphorylation;spinal cord development,plasma membrane,PTPRS,Receptor-type tyrosine-protein phosphatase S,plasma membrane,extracellular matrix organization
P80723,diaphragm development;glomerular visceral epithelial cell differentiation;gonad development;mesenchymal to epithelial transition;metanephric mesenchyme development;negative regulation of transcription - DNA-dependent;positive regulation of heart growth;positive regulation of metanephric ureteric bud development;substantia nigra development;thorax and anterior abdomen determination,cytoplasm;nucleus;plasma membrane,BASP1,Brain acid soluble protein 1,plasma membrane,substantia nigra development
